,code,name,mkt_segment,close,transaction_volume,mrk_cap,shares_outstanding,desc
0,060310,3S,2,2500,370145840,113029737500,45211895,"3S KOREA Co., Ltd. engages in the semiconductor and advanced materials, and environmental businesses in South Korea. The company offers environment test equipment, including system multi air, psychrometric type air, balanced ambient room type air, air to air type heat exchanger, automotive A/C, automotive compressor, and compressor calorimeters; environmental control systems, such as artificial environment test equipment, environment test equipment for room air conditioners, housing all-weather type environment test equipment, automobile wind tunnel type environment test equipment, artificial snowfall test equipment, ECUs, thermal shock testers, forced circulation dryers, salt spray testers, and simple type of test equipment. It also provides automotive parts that include VDA low temperature durability test systems, A/C system performance testers, comp system bench testers, RAD and oil cooler performance testers, RAD thermal cycle testers, cond calorimeters, fan performance testers, and E-HAD testers; and clean room products. In addition, the company offers other test equipment comprising thermal transmission rate test equipment, FAN performance measuring equipment, compressor reliability testers, compressor noise control test equipment, compressor lock rotor test equipment, compressor starting testers, air sampling units, and heat pump test equipment. Further, it provides wafer shipping boxes for semiconductor, automobiles, health care, aviation, etc. fields. The company was formerly known as Century System Supplier Co., Ltd. and changed its name to 3S KOREA Co., Ltd. in October 1994. 3S KOREA Co. Ltd. was founded in 1989 and is headquartered in Seoul, South Korea."
1,095570,AJ네트웍스,1,4425,404334910,207188655375,46822295,"AJ Networks Co.,Ltd. provides rental services for logistics pallets, IT equipment, and construction equipment in South Korea and internationally. It engages in the rental of construction equipment, such as aerial and construction materials; IT equipment comprising desktops, laptops, workstations, monitors, digital complexers, printers, commercial shredders, scanners, TVs, signage, electronic boards, beam projectors, smartphones, and tablets, as well as household appliances, such as air cleaners and conditioners, water purifiers, massage chairs, and others; web conference, PC recovery, kiosk, robot, server, and others; and pallets, fork lifts, and logistics equipment. The company was founded in 2000 and is headquartered in Seoul, South Korea."
2,006840,AK홀딩스,1,29750,1450383700,394114939750,13247561,"AK Holdings, Inc., through its subsidiaries, manufactures and sells paints and other chemical products in South Korea, the People's Republic of China, Vietnam, and internationally. The company offers cosmetics and polishes, and detergent soaps. It also engages in the real estate leasing and investment, trading, servicing, domestic and international air traffic, and air transport assistance activities. In addition, the company acts as a real estate agent. Further, it operates various money trusts and department stores, as well as in food and beverage industry. The company was founded in 1954 and is based in Seoul, South Korea."
3,054620,APS홀딩스,2,8570,1627729490,174778473970,20394221,"APS Holdings Corporation, through its subsidiaries, manufactures and sells semiconductors, display manufacturing, and control equipment in South Korea. The company was formerly known as Advanced Process Systems Corporation and changed its name to APS Holdings Corporation in January 2017. APS Holdings Corporation was founded in 1994 and is based in Hwaseong-si, South Korea."
4,265520,AP시스템,2,29500,12189414050,427166696500,14480227,"Advanced Process Systems Corporation develops and sells semiconductors and display manufacturing equipment primarily in South Korea, China, and Vietnam. It offers excimer laser annealing, laser lift-off, fine metal micro-machining, glass laser scribing in-line, and film laser cutting equipment; rapid thermal processing equipment; one drop filling and encapsulation systems, and temporary bond and de-bond process systems; thin film encapsulation and sputter systems; and dry strip and descum systems. The company was formerly known as Kornic Systems Corporation and changed its name to Advanced Process Systems Corporation in 2009. Advanced Process Systems Corporation was founded in 1994 and is headquartered in Hwaseong-si, South Korea."
5,211270,AP위성,2,17550,32700494950,264343435200,15062304,"Asia Pacific Satellite Inc. develops and manufactures satellite communication devices worldwide. It offers Satsleeve+ and SatSleeve Hotspot products, satellite phones, home and office docking adapters, satellite location tracking devices, satellite modules, telematics monitoring systems, automatic identification systems, global positioning system modules, and marine and Link-K modems. It also provides satellite bus system design services; solid state recorders; on-board computers; electrical ground support equipment and automatic dependent surveillance-broadcasting systems; and assembly, integration, and test services. The company was formerly known as Asia Pacific Satellite Communications Inc. and changed its name to Asia Pacific Satellite Inc. in November 2016. Asia Pacific Satellite Inc. was founded in 2000 and is headquartered in Seoul, South Korea."
6,027410,BGF,1,6380,2380348110,610673126580,95716791,"BGF Co., Ltd. operates retail convenience stores in South Korea. It also manufactures and distributes foods, such as lunch boxes, rice balls, sushi rolls, sandwiches, and hamburgers. The company was founded in 1990 and is based in Seoul, South Korea. BGF Co., Ltd. is a subsidiary of Bokwang Development Co., Ltd."
7,282330,BGF리테일,1,166000,6106636000,2869128396000,17283906,"BGF retail CO., LTD. operates convenience stores in South Korea. It also engages in franchising business. In addition, the company manufactures and distributes fresh food products, including lunch boxes, rice balls, sushi rolls, sandwiches, and hamburgers; and other items. BGF retail CO., LTD. was incorporated in 1994 and is based in Seoul, South Korea."
8,138930,BNK금융지주,1,6820,13213591560,2222878377720,325935246,"BNK Financial Group Inc., together with its subsidiaries, provides various financial products and services. It accepts various deposit products; and provides foreign exchange, inquiry, trust, transfer, and card services, as well as loans. The company also provides personal credit facility, leasing/installment finance, business loan factoring, bill discounted, and auto loans; and currency/commodity futures and securities services. In addition, it operates as a venture asset management company; offers IT services, as well as debt collection and credit information services; and engages in the rental of cars, offices, and machinery. Further, the company provides specialized credit finance, investment brokerage and trading, savings bank, financial advisory and collective investment, credit investigation and collection agency, and start-up investment company advisory services, as well as develops and supplies system software. BNK Financial Group Inc. serves customers through a network of branches and representative offices in Korea and internationally. The company was formerly known as BS Financial Group Inc. and changed its name to BNK Financial Group Inc. in April 2015. BNK Financial Group Inc. was founded in 1967 and is headquartered in Busan, South Korea."
9,001460,BYC,1,343500,499044000,214555252500,624615,"BYC Co., Ltd. produces and sells underwear in South Korea and internationally. It offers men's and women's underwear, pajamas, and innerwear for babies under the BYC, SCORPIO, BODY HEAT, BODY DRY, LESON, CELPINK, SC SPORTS, and RAMMI brand names. The company sells its products through online and stores. The company operates 1,700 franchises and 14 chain stores. BYC Co., Ltd. was founded in 1946 and is headquartered in Seoul, South Korea."
11,001040,CJ,1,92400,3573240900,2695954615200,29176998,"CJ Corporation engages in the food and food services, bio and pharma, home shopping and logistics, entertainment and media, and infrastructure businesses worldwide. The company engages in the manufacture of food; burgeoning food and restaurant business; distribution food materials; and provision of food services. It also provides media, movies, music, performance, and games; media and communication services, and digital contents for media and advertisement; and provides home shopping and logistics services, as well as researches and develops nucleic acid, lysine, and others. In addition, the company constructs housing, commercial facilities, and resorts; and offers IT services primarily in the areas of life and culture. CJ Corporation was founded in 1953 and is based in Seoul, South Korea."
12,079160,CJ CGV,1,28950,9716452650,1016145000000,35100000,"CJ CGV Co., Ltd. engages in the screening and operation of multiplex theaters in South Korea. It operates The Private Cinema, a private screening service; Cine de Chef, a place that includes cinema and restaurant services; 4DX, a five sensation theater experience hall; ScreenX, a multi-screen theater; SphereX, a hemispherical shape theater; and SoundX, a 3D stereo system. The company was founded in 1999 and is headquartered in Seoul, South Korea."
13,035760,CJ ENM,2,144900,8931176100,3177534414600,21929154,"CJ ENM CO., Ltd., together with its subsidiaries, engages in media content, film, music, convention, performing arts, and animation businesses. The company offers content to broadcast channels in various genres; and marketing solutions. It also engages in the planning, investment, and distribution of domestic films; investment, production, and distribution of music; planning and producing programs and conventions; planning, investment, production, distribution, and licensing of animation. CJ ENM CO., Ltd. was founded in 1995 and is based in Seoul, South Korea."
15,000120,CJ대한통운,1,174000,8847075500,3969347856000,22812344,"CJ Logistics Corporation provides integrated transportation and logistics services for individuals and companies in Korea and internationally. It engages in contract logistics, parcel, forwarding and international express, stevedoring and transportation, project logistics businesses. CJ Logistics Corporation was formerly known as Korea Express Co., Ltd. The company was founded in 1930 and is based in Seoul, South Korea. CJ Logistics Corporation operates as a subsidiary of CJ Corporation."
